player_name,name_adjusted,event_name,course_name,h1,h2,h3,h4,h1_year,h2_year,h3_year,h4_year,rf1,rf2,rf3,rf4,rf5,rf6,rf7,cut_streak,avg_finish_course,starts_at_course,value,value_rank,salary,s1,s2,s3,s4,s5,key_stat_1,key_stat_2,key_stat_3,key_stat_4,key_stat_5,ch_rank
"Yu, Kevin","Yu, Kevin",Wyndham Championship,SEDGEFIELD,CUT,CUT,CUT,—,2025,2024,2023,2022,15,29,35,CUT,53,CUT,7,3,100.0,3,1.74,11,,55.0,3.0,22.0,30.0,10.0,STROKES GAINED APPROACH,BIRDIE OR BETTER %,BALL STRIKING,TOTAL DRIVING,PAR 5 SCORING,85.0
"Brown, Blades","Brown, Blades",Wyndham Championship,SEDGEFIELD,—,—,—,—,2025,2024,2023,2022,12,55,17,13,14,16,9,9,,0,1.72,12,,5.0,1.0,2.0,3.0,71.0,STROKES GAINED APPROACH,BIRDIE OR BETTER %,BALL STRIKING,TOTAL DRIVING,PAR 5 SCORING,
"Hisatsune, Ryo","Hisatsune, Ryo",Wyndham Championship,SEDGEFIELD,CUT,3,—,—,2025,2024,2023,2022,9,38,43,52,66,19,35,19,51.5,2,1.51,13,,27.0,35.0,4.0,10.0,108.0,STROKES GAINED APPROACH,BIRDIE OR BETTER %,BALL STRIKING,TOTAL DRIVING,PAR 5 SCORING,42.0
"Grillo, Emiliano","Grillo, Emiliano",Wyndham Championship,SEDGEFIELD,44,59,—,—,2025,2024,2023,2022,26,23,20,42,38,CUT,CUT,5,51.5,3,1.42,14,,39.0,37.0,39.0,27.0,114.0,STROKES GAINED APPROACH,BIRDIE OR BETTER %,BALL STRIKING,TOTAL DRIVING,PAR 5 SCORING,42.0
"Bradley, Keegan","Bradley, Keegan",Wyndham Championship,SEDGEFIELD,CUT,22,—,—,2025,2024,2023,2022,26,14,32,19,35,CUT,19,5,61.0,3,1.32,15,,51.0,44.0,41.0,19.0,17.0,STROKES GAINED APPROACH,BIRDIE OR BETTER %,BALL STRIKING,TOTAL DRIVING,PAR 5 SCORING,54.0
"Cantlay, Patrick","Cantlay, Patrick",Wyndham Championship,SEDGEFIELD,—,—,—,—,2025,2024,2023,2022,14,CUT,17,35,10,8,12,1,,0,1.32,15,,8.0,47.0,17.0,21.0,78.0,STROKES GAINED APPROACH,BIRDIE OR BETTER %,BALL STRIKING,TOTAL DRIVING,PAR 5 SCORING,
"Akina, Kihei","Akina, Kihei",Wyndham Championship,SEDGEFIELD,—,—,—,—,2025,2024,2023,2022,16,CUT,CUT,—,—,—,—,1,,0,1.3,17,,,,,,,STROKES GAINED APPROACH,BIRDIE OR BETTER %,BALL STRIKING,TOTAL DRIVING,PAR 5 SCORING,
"Van Rooyen, Erik","Van Rooyen, Erik",Wyndham Championship,SEDGEFIELD,WD,CUT,CUT,—,2025,2024,2023,2022,26,20,70,19,38,17,59,8,100.0,4,1.29,18,,113.0,39.0,106.0,95.0,34.0,STROKES GAINED APPROACH,BIRDIE OR BETTER %,BALL STRIKING,TOTAL DRIVING,PAR 5 SCORING,85.0
"Griffin, Ben","Griffin, Ben",Wyndham Championship,SEDGEFIELD,11,7,CUT,4,2025,2024,2023,2022,21,10,17,CUT,3,14,63,3,30.5,4,1.29,18,,80.0,72.0,47.0,47.0,50.0,STROKES GAINED APPROACH,BIRDIE OR BETTER %,BALL STRIKING,TOTAL DRIVING,PAR 5 SCORING,16.0
"Hoge, Tom","Hoge, Tom",Wyndham Championship,SEDGEFIELD,—,—,—,—,2025,2024,2023,2022,33,38,CUT,51,71,6,26,2,,5,1.23,20,,26.0,18.0,96.0,110.0,97.0,STROKES GAINED APPROACH,BIRDIE OR BETTER %,BALL STRIKING,TOTAL DRIVING,PAR 5 SCORING,
