player_name,stat_type,prizepicks_line,underdog_line,average_line,higher_price_ud,lower_price_ud,headshot,date,updated_at
Denny McCarthy,Round Strokes,,68.5,68.5,-110,-112,https://assets.underdogfantasy.com/player-images/pga/6787bd96-6bf0-4297-b819-85025f81a3a9_25.png,8/9/2026,2026-08-09T11:36:00.388546Z
Denny McCarthy,Strokes,68.5,,68.5,n/a,n/a,https://static.prizepicks.com/images/players/PGA/Denny_McCarthy_GOLF_player_hjCnsgHcQhTme4YdcxwfIpp9-450.webp,8/9/2026,2026-08-09T11:36:00.388550Z
Denny McCarthy,Tourney Finishing Position,,20.5,20.5,N/A,+127,https://assets.underdogfantasy.com/player-images/pga/6787bd96-6bf0-4297-b819-85025f81a3a9_25.png,8/9/2026,2026-08-09T11:36:00.388555Z
Doug Ghim,Tourney Finishing Position,,20.5,20.5,N/A,+167,https://assets.underdogfantasy.com/player-images/pga/20260224_22-fa4b1348-de92-49e6-9379-b96b936055fe.png,8/9/2026,2026-08-09T11:36:00.388560Z
Eric Cole,Birdies Or Better,4.5,4.5,4.5,+100,-122,https://assets.underdogfantasy.com/player-images/pga/20260224_22-c01c741a-fd91-4e1c-8d39-ec448fc37e0a.png,8/9/2026,2026-08-09T11:36:00.388564Z
Eric Cole,Round Strokes,,68.5,68.5,-104,-120,https://assets.underdogfantasy.com/player-images/pga/20260224_22-c01c741a-fd91-4e1c-8d39-ec448fc37e0a.png,8/9/2026,2026-08-09T11:36:00.388569Z
Eric Cole,Strokes,68.5,,68.5,n/a,n/a,https://static.prizepicks.com/images/players/PGA/Eric_Cole_GOLF_player_IapicWg2FrGSne3y5EHw9rNe-450.webp,8/9/2026,2026-08-09T11:36:00.388573Z
Eric Cole,Tourney Finishing Position,,20.5,20.5,N/A,+208,https://assets.underdogfantasy.com/player-images/pga/20260224_22-c01c741a-fd91-4e1c-8d39-ec448fc37e0a.png,8/9/2026,2026-08-09T11:36:00.388577Z
Erik Van Rooyen,Birdies Or Better,4,4.5,4.3,+136,-167,https://assets.underdogfantasy.com/player-images/pga/20260224_22-1330a2ae-16d0-433f-8382-e26cdce78ac7.png,8/9/2026,2026-08-09T11:36:00.388582Z
Erik Van Rooyen,Bogeys or Worse,3,2.5,2.8,-179,+144,https://assets.underdogfantasy.com/player-images/pga/20260224_22-1330a2ae-16d0-433f-8382-e26cdce78ac7.png,8/9/2026,2026-08-09T11:36:00.388587Z
Erik Van Rooyen,Fairways Hit,,8.5,8.5,-112,-112,https://assets.underdogfantasy.com/player-images/pga/20260224_22-1330a2ae-16d0-433f-8382-e26cdce78ac7.png,8/9/2026,2026-08-09T11:36:00.388592Z
Erik Van Rooyen,Greens In Regulation,12.5,12.5,12.5,-127,+104,https://assets.underdogfantasy.com/player-images/pga/20260224_22-1330a2ae-16d0-433f-8382-e26cdce78ac7.png,8/9/2026,2026-08-09T11:36:00.388597Z
Erik Van Rooyen,Pars,11,,11,n/a,n/a,https://static.prizepicks.com/images/players/PGA/Erik_Van_Rooyen_GOLF_player_8lo8s4NuYVqoL2RnPl2oGXLP-450.webp,8/9/2026,2026-08-09T11:36:00.388601Z
Erik Van Rooyen,Round Strokes,,69.5,69.5,+108,-132,https://assets.underdogfantasy.com/player-images/pga/20260224_22-1330a2ae-16d0-433f-8382-e26cdce78ac7.png,8/9/2026,2026-08-09T11:36:00.388605Z
Erik Van Rooyen,Strokes,69,,69,n/a,n/a,https://static.prizepicks.com/images/players/PGA/Erik_Van_Rooyen_GOLF_player_8lo8s4NuYVqoL2RnPl2oGXLP-450.webp,8/9/2026,2026-08-09T11:36:00.388610Z
