player_name,course_name,starts,rounds,sg_total_avg,avg_finish,best,cut_pct,last3,spec_rank
"Highsmith, Joe",DETROIT GOLF CLUB,46,179,-0.102,32.58,2.0,46.7,CUT|CUT|67,132.0
"Hojgaard, Rasmus",DETROIT GOLF CLUB,55,277,0.685,30.2,1.0,25.9,CUT|65|24,24.0
"Schenk, Adam",DETROIT GOLF CLUB,59,434,0.018,33.31,1.0,32.8,74|CUT|CUT,124.0
"Li, Haotong",DETROIT GOLF CLUB,52,252,0.098,33.93,2.0,43.1,CUT|35|CUT,114.0
"Fisk, Steven",DETROIT GOLF CLUB,50,261,0.631,26.07,1.0,37.5,10|CUT|38,35.0
"Kirk, Chris",DETROIT GOLF CLUB,38,337,0.302,40.88,2.0,31.6,CUT|CUT|44,87.0
"Rozo, Marcelo",DETROIT GOLF CLUB,52,244,-0.255,41.3,3.0,48.1,CUT|CUT|53,138.0
"Davis, Cam",DETROIT GOLF CLUB,31,213,-0.029,34.47,6.0,38.7,CUT|67|CUT,131.0
"Silverman, Ben",DETROIT GOLF CLUB,64,302,0.375,32.79,1.0,39.7,CUT|CUT|38,74.0
"Tosti, Alejandro",DETROIT GOLF CLUB,50,198,0.449,26.7,1.0,42.6,CUT|CUT|CUT,62.0
"Lower, Justin",DETROIT GOLF CLUB,56,295,0.055,39.74,8.0,51.8,45|CUT|55,117.0
"Hirata, Kensei",DETROIT GOLF CLUB,34,113,0.388,28.19,2.0,38.2,CUT|65|CUT,71.0
"Power, Seamus",DETROIT GOLF CLUB,48,357,0.514,31.2,1.0,27.1,54|60|CUT,54.0
"Huskey, Keenan",DETROIT GOLF CLUB,27,92,-0.467,46.0,2.0,70.4,CUT|CUT|CUT,140.0
"Azallion, Daniel",DETROIT GOLF CLUB,2,4,-1.181,164.0,164.0,50.0,CUT|164,144.0
"Olesen, Thorbjorn",DETROIT GOLF CLUB,60,344,0.648,25.18,1.0,32.2,67|14|CUT,31.0
"Schmid, Matti",DETROIT GOLF CLUB,30,184,0.035,42.0,3.0,56.7,CUT|4|CUT,120.0
"Sargent, Gordon",DETROIT GOLF CLUB,15,41,-0.631,35.2,8.0,66.7,CUT|CUT|CUT,143.0
"Blanchet, Chandler",DETROIT GOLF CLUB,50,240,0.428,27.62,1.0,32.0,42|44|52,65.0
"Rodgers, Patrick",DETROIT GOLF CLUB,45,442,0.336,32.39,2.0,26.7,71|49|60,82.0
"Ramey, Chad",DETROIT GOLF CLUB,49,288,0.293,35.92,1.0,45.8,CUT|CUT|28,92.0
"Wilkes-Krier, Patrick",DETROIT GOLF CLUB,1,2,-2.478,,,100.0,CUT,145.0
"VanDerLaan, John",DETROIT GOLF CLUB,55,340,0.558,31.05,1.0,30.9,CUT|60|CUT,49.0
"Quiban, Justin",DETROIT GOLF CLUB,0,0,,,,,,
"Celano, Ryan",DETROIT GOLF CLUB,1,2,-0.549,,,100.0,CUT,141.0
"Kizzire, Patton",DETROIT GOLF CLUB,47,302,-0.17,37.83,8.0,50.0,CUT|CUT|CUT,134.0
"Lamprecht, Christo",DETROIT GOLF CLUB,35,123,0.218,34.14,1.0,40.0,CUT|60|CUT,99.0
"Walker, Danny",DETROIT GOLF CLUB,50,200,-0.005,32.19,2.0,46.9,CUT|38|68,129.0
"Hooks, Joe",DETROIT GOLF CLUB,1,2,-4.638,,,100.0,CUT,146.0
