ID,Player Name,Stat Value,Stat Description,Higher Price,Lower Price,Sport ID,Match Title,Game Short Title,Scheduled At,Match Progress,Venue Name,Venue Type,Weather Condition,Weather Temperature,Away Team Probable Starting Pitcher,Away Team Probable Starting Pitcher Hand,Home Team Probable Starting Pitcher,Home Team Probable Starting Pitcher Hand,Broadcasts,Player Position Display Name,Player Position Name,Player Image URL,Appearance Badge Text,Appearance Badge Label,Appearance Badge Value,Match Date
9cb4d287-7b31-42f6-b02f-8a40c377fe05,Collin Morikawa,4.5,Birdies or Better,+132,-162,PGA,FedEx St. Jude... R2,N/A,2026-08-14T14:35:00Z,Fri 10:35am,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Golfer,G,https://assets.underdogfantasy.com/player-images/pga/20250926_02-f0ff1391-fc29-41bf-b46a-cd5ef9f63ad9.png,N/A,N/A,N/A,8/14/2026
d07fc4f9-0116-44c3-9593-6b41fa9346ff,Collin Morikawa,11.5,Greens in Regulation,+112,-137,PGA,FedEx St. Jude... R2,N/A,2026-08-14T14:35:00Z,Fri 10:35am,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Golfer,G,https://assets.underdogfantasy.com/player-images/pga/20250926_02-f0ff1391-fc29-41bf-b46a-cd5ef9f63ad9.png,N/A,N/A,N/A,8/14/2026
8f2433bb-353f-40c2-b091-1a975383fa63,Collin Morikawa,9.5,Fairways Hit,+133,-164,PGA,FedEx St. Jude... R2,N/A,2026-08-14T14:35:00Z,Fri 10:35am,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Golfer,G,https://assets.underdogfantasy.com/player-images/pga/20250926_02-f0ff1391-fc29-41bf-b46a-cd5ef9f63ad9.png,N/A,N/A,N/A,8/14/2026
7bb8e511-0f2f-4730-ad53-7f76b8dc9b0b,Collin Morikawa,2.5,Bogeys or Worse,+103,-127,PGA,FedEx St. Jude... R2,N/A,2026-08-14T14:35:00Z,Fri 10:35am,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Golfer,G,https://assets.underdogfantasy.com/player-images/pga/20250926_02-f0ff1391-fc29-41bf-b46a-cd5ef9f63ad9.png,N/A,N/A,N/A,8/14/2026
65db6cbc-f873-4c3e-9746-731e595c5618,Collin Morikawa,10.5,R2 Leaderboard Position,N/A,+1400,PGA,FedEx St. Jude... R2,N/A,2026-08-14T14:35:00Z,Fri 10:35am,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Golfer,G,https://assets.underdogfantasy.com/player-images/pga/20250926_02-f0ff1391-fc29-41bf-b46a-cd5ef9f63ad9.png,N/A,N/A,N/A,8/14/2026
16b63676-3d46-4c2d-89d0-16890ae4556f,Collin Morikawa,0.5,Eagles or Better,+685,N/A,PGA,FedEx St. Jude... R2,N/A,2026-08-14T14:35:00Z,Fri 10:35am,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Golfer,G,https://assets.underdogfantasy.com/player-images/pga/20250926_02-f0ff1391-fc29-41bf-b46a-cd5ef9f63ad9.png,N/A,N/A,N/A,8/14/2026
62e38b08-e8e6-4102-b280-f91d1eb4616f,Justin Thomas,68.5,Round Strokes,-124,+101,PGA,FedEx St. Jude... R2,N/A,2026-08-14T17:35:00Z,Fri 01:35pm,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Golfer,G,https://assets.underdogfantasy.com/player-images/pga/20250926_03-2094fa02-6411-48df-a717-aa1a7228d645.png,N/A,N/A,N/A,8/14/2026
53fb7a91-a3ec-4745-adb6-15a623e5b32b,Justin Thomas,20.5,Tourney Finishing Position,N/A,+146,PGA,FedEx St. Jude... R2,N/A,2026-08-14T17:35:00Z,Fri 01:35pm,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Golfer,G,https://assets.underdogfantasy.com/player-images/pga/20250926_03-2094fa02-6411-48df-a717-aa1a7228d645.png,N/A,N/A,N/A,8/14/2026
806dfb2f-48b7-462f-8437-8290121cf63a,Justin Thomas,3.5,Birdies or Better,-170,+138,PGA,FedEx St. Jude... R2,N/A,2026-08-14T17:35:00Z,Fri 01:35pm,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Golfer,G,https://assets.underdogfantasy.com/player-images/pga/20250926_03-2094fa02-6411-48df-a717-aa1a7228d645.png,N/A,N/A,N/A,8/14/2026
a89cb5dc-5f34-4ef7-9cb8-d6f66fc9d467,Justin Thomas,10.5,Greens in Regulation,+100,-124,PGA,FedEx St. Jude... R2,N/A,2026-08-14T17:35:00Z,Fri 01:35pm,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Golfer,G,https://assets.underdogfantasy.com/player-images/pga/20250926_03-2094fa02-6411-48df-a717-aa1a7228d645.png,N/A,N/A,N/A,8/14/2026
8251d6e9-ea70-4bb0-b276-bdf85627e25e,Justin Thomas,7.5,Fairways Hit,-120,-104,PGA,FedEx St. Jude... R2,N/A,2026-08-14T17:35:00Z,Fri 01:35pm,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Golfer,G,https://assets.underdogfantasy.com/player-images/pga/20250926_03-2094fa02-6411-48df-a717-aa1a7228d645.png,N/A,N/A,N/A,8/14/2026
89dfca5c-ffef-4b3e-8184-1b3633a51b3d,Justin Thomas,2.5,Bogeys or Worse,-108,-114,PGA,FedEx St. Jude... R2,N/A,2026-08-14T17:35:00Z,Fri 01:35pm,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Golfer,G,https://assets.underdogfantasy.com/player-images/pga/20250926_03-2094fa02-6411-48df-a717-aa1a7228d645.png,N/A,N/A,N/A,8/14/2026
