player_name,name_adjusted,salary,event_name,date_start,course_name,tour,cut_streak,rf1,rf2,rf3,rf4,rf5,rf6,rf7,rflst5,rflst10,value,value_avg,rf_sg_starts,missed_cuts_7,cut_pct,starts_count,updated_at,value_rank,rflst5_rank,rflst10_rank
"Griffin, Ben","Griffin, Ben",,Wyndham Championship,2026-08-06,Sedgefield Country Club,pga,0,CUT (+0.19),T59 (+0.16),T21 (+1.48),T10 (+1.52),T17 (+1.89),CUT (-1.91),T3 (+2.75),35.8,33.4,6.08,0.87,7,2,70.0,150,2026-08-08T16:28:14.719968Z,13,22,12
"Ventura, Kristoffer","Ventura, Kristoffer",,Wyndham Championship,2026-08-06,Sedgefield Country Club,pga,5,T5 (+2.45),T51 (+0.01),T15 (+1.75),T5 (+2.24),T43 (-1.10),CUT (-2.06),T4 (+2.67),23.8,37.5,5.95,0.85,7,1,52.5,40,2026-08-08T16:29:22.873821Z,14,6,23
"Bradley, Keegan","Bradley, Keegan",,Wyndham Championship,2026-08-06,Sedgefield Country Club,pga,7,T15 (+1.95),T74 (-1.09),T26 (+1.23),T14 (+1.02),T32 (+1.14),T19 (+1.11),T35 (+0.50),32.2,35.5,5.86,0.84,7,0,79.1,225,2026-08-08T16:27:57.318337Z,15,14,19
"Koivun, Jackson","Koivun, Jackson",,Wyndham Championship,2026-08-06,Sedgefield Country Club,pga,3,T31 (+1.20),1 (+4.26),T10 (+1.74),CUT (-1.92),T23 (+1.39),T56 (+0.09),T48 (-1.07),27.4,33.0,5.68,0.81,7,1,78.6,14,2026-08-08T16:28:34.732164Z,16,7,11
"Bezuidenhout, Christiaan","Bezuidenhout, Christiaan",,Wyndham Championship,2026-08-06,Sedgefield Country Club,pga,7,T45 (+0.45),T20 (+1.51),T69 (-0.50),T21 (+1.24),T12 (+1.98),T54 (-0.00),T32 (+0.75),33.4,36.6,5.42,0.77,7,0,77.6,205,2026-08-08T16:27:55.138932Z,17,17,22
"Suber, Jackson","Suber, Jackson",,Wyndham Championship,2026-08-06,Sedgefield Country Club,pga,1,T50 (+0.20),CUT (-1.51),T28 (+1.16),T6 (+2.48),T30 (+0.27),CUT (+0.26),T4 (+2.50),37.2,35.2,5.36,0.77,7,2,59.4,96,2026-08-08T16:29:17.036733Z,18,27,17
"Fitzpatrick, Alex","Fitzpatrick, Alex",,Wyndham Championship,2026-08-06,Sedgefield Country Club,pga,1,T71 (-0.84),CUT (-0.71),T7 (+1.77),T23 (+1.39),T20 (+1.50),T6 (+2.61),T75 (-0.63),38.6,28.8,5.09,0.73,7,1,69.4,98,2026-08-08T16:28:10.361796Z,19,30,4
"Thompson, Davis","Thompson, Davis",,Wyndham Championship,2026-08-06,Sedgefield Country Club,pga,2,T8 (+2.20),T7 (+2.76),CUT (+0.06),T26 (+1.23),CUT (-2.24),T45 (+0.50),T35 (+0.50),37.0,35.6,5.0,0.71,7,2,68.1,135,2026-08-08T16:29:21.351309Z,20,26,20
"Yu, Kevin","Yu, Kevin",,Wyndham Championship,2026-08-06,Sedgefield Country Club,pga,3,T31 (+1.20),T16 (+1.76),T24 (+1.25),CUT (-2.71),T15 (+1.73),T29 (+1.25),T35 (+0.50),31.6,41.9,4.97,0.71,7,1,57.1,133,2026-08-08T16:29:28.283730Z,21,11,33
"Hughes, Mackenzie","Hughes, Mackenzie",,Wyndham Championship,2026-08-06,Sedgefield Country Club,pga,0,CUT (+0.19),T44 (+0.26),T20 (+1.50),T10 (+1.74),T46 (+0.48),CUT (-1.72),T10 (+2.25),38.4,46.4,4.7,0.67,7,2,62.8,247,2026-08-08T16:28:26.461639Z,22,29,51
"Smith, Jordan","Smith, Jordan",,Wyndham Championship,2026-08-06,Sedgefield Country Club,pga,4,T31 (+1.20),T39 (+0.51),T18 (+1.41),T21 (+1.47),CUT (-1.72),T13 (+2.00),T59 (-0.20),36.2,45.2,4.67,0.67,7,1,79.1,220,2026-08-08T16:29:10.913795Z,23,24,47
"Koepka, Brooks","Koepka, Brooks",,Wyndham Championship,2026-08-06,Sedgefield Country Club,pga,1,T28 (+1.16),CUT (-0.21),CUT (-2.24),WD (+1.33),T14 (+2.05),T55 (+0.62),T11 (+1.92),53.2,48.8,4.65,0.66,7,2,79.1,187,2026-08-08T16:28:33.766436Z,24,79,67
"James, Ben","James, Ben",,Wyndham Championship,2026-08-06,Sedgefield Country Club,pga,1,T38 (+0.95),CUT (-0.51),T4 (+2.75),T15 (+1.49),T62 (-1.48),T23 (+1.39),T54 (-0.00),38.2,44.5,4.57,0.65,7,1,61.5,13,2026-08-08T16:28:28.730189Z,25,28,43
"Neergaard-Petersen, Rasmus","Neergaard-Petersen, Rasmus",,Wyndham Championship,2026-08-06,Sedgefield Country Club,pga,0,CUT (-0.81),T20 (+1.51),T9 (+1.91),T36 (+0.72),56 (-0.27),39 (+1.00),T42 (+0.25),38.6,44.0,4.31,0.62,7,1,75.8,62,2026-08-08T16:28:49.357516Z,26,30,40
