player_name,course_name,event_name,h1,h2,h3,h4,avg_finish,starts,last_sg
"Griffin, Lanto",SEDGEFIELD,Wyndham Championship,23,—,—,—,23.0,3,1.5459999999999998
"Potgieter, Aldrich",SEDGEFIELD,Wyndham Championship,—,—,—,—,,0,
"Collet, Tyler",SEDGEFIELD,Wyndham Championship,—,—,—,—,,0,
"McGirt, William",SEDGEFIELD,Wyndham Championship,—,—,—,CUT,100.0,3,-0.823
"Glover, Lucas",SEDGEFIELD,Wyndham Championship,CUT,CUT,1,54,63.75,8,-0.5615
"Novak, Andrew",SEDGEFIELD,Wyndham Championship,CUT,52,33,CUT,71.25,4,-1.0615
"Kizzire, Patton",SEDGEFIELD,Wyndham Championship,44,CUT,CUT,CUT,86.0,8,0.29599999999999993
"Walker, Danny",SEDGEFIELD,Wyndham Championship,CUT,—,—,—,100.0,1,-1.5614999999999999
"Hirata, Kensei",SEDGEFIELD,Wyndham Championship,—,—,—,—,,0,
"Lamprecht, Christo",SEDGEFIELD,Wyndham Championship,—,—,—,—,,0,
"Smotherman, Austin",SEDGEFIELD,Wyndham Championship,—,—,27,CUT,63.5,2,1.14025
"Huskey, Keenan",SEDGEFIELD,Wyndham Championship,—,—,—,—,,0,
"Rodgers, Patrick",SEDGEFIELD,Wyndham Championship,15,33,CUT,36,46.0,8,2.0460000000000003
"Tosti, Alejandro",SEDGEFIELD,Wyndham Championship,—,CUT,—,—,100.0,1,-2.589
"Hrabak, Cooper",SEDGEFIELD,Wyndham Championship,—,—,—,—,,0,
